symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2023-06-26,2023-06-27,15615.0,15490.82,19,296685.0,294325.61,-2359.39,-0.007952518183065683,2,normal_breakout_with_volume_expansion,intraday_stop,15490.82,15490.82,15690.0,124.18,2458.46,-1.0,-0.80%
PB0,SHFE,PB0.SHFE,NORMAL_SETUP,2023-08-24,2023-08-25,16435.0,16470.0,12,197220.0,197640.0,420.0,0.0021296014602981443,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,16242.43,16242.43,16565.0,192.57,2452.56,0.18,0.21%
BC0,INE,BC0.INE,NORMAL_SETUP,2021-02-26,2021-03-01,62690.0,60000.0,1,62690.0,60000.0,-2690.0,-0.04290955495294305,2,normal_breakout_with_volume_expansion,gap_down_stop_at_open,60609.64,60609.64,62980.0,2080.36,2500.0,-1.29,-4.29%
BC0,INE,BC0.INE,NORMAL_SETUP,2021-04-20,2021-04-28,62090.0,64480.0,1,62090.0,64480.0,2390.0,0.03849251087131583,7,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,60489.29,62242.86,64960.0,1600.71,2493.28,1.49,3.85%
BC0,INE,BC0.INE,GOOD_SETUP,2021-05-11,2021-05-11,68910.0,67128.57,2,137820.0,134257.14,-3562.86,-0.02585152476314853,1,good_breakout_with_volume_expansion,same_day_initial_stop,67128.57,67128.57,69150.0,1781.43,4998.5,-1.0,-2.59%
BC0,INE,BC0.INE,NORMAL_SETUP,2021-10-18,2021-10-19,67280.0,67280.0,1,67280.0,67280.0,0.0,0.0,2,normal_breakout_with_volume_expansion,intraday_stop,64881.86,67280.0,71050.0,2398.14,2490.34,0.0,0.00%
BC0,INE,BC0.INE,NORMAL_SETUP,2022-01-13,2022-01-17,64230.0,63530.0,1,64230.0,63530.0,-700.0,-0.01089833411178577,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,62108.93,62108.93,64850.0,2121.07,2490.34,-0.33,-1.09%
BC0,INE,BC0.INE,NORMAL_SETUP,2022-03-07,2022-03-08,66160.0,66190.0,2,132320.0,132380.0,60.0,0.00045344619105199517,2,normal_breakout_with_volume_expansion,intraday_stop,65041.43,66190.0,69060.0,1118.57,2488.59,0.03,0.05%
BC0,INE,BC0.INE,NORMAL_SETUP,2023-01-19,2023-01-20,63510.0,62200.0,1,63510.0,62200.0,-1310.0,-0.02062667296488742,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,61536.43,61536.43,64070.0,1973.57,2488.74,-0.66,-2.06%
OI0,CZCE,OI0.CZCE,GOOD_SETUP,2016-03-18,2016-03-24,5864.0,5926.0,41,240424.0,242966.0,2542.0,0.010572987721691678,5,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,5743.8,5864.0,6014.0,120.2,5000.0,0.52,1.06%
