date,equity
2024-04-22,992659.2324544914
2024-04-23,992006.2039051921
2024-04-24,991094.3052078297
2024-04-25,992093.4079756219
2024-04-26,992093.4079756219
2024-04-29,991274.9399916113
2024-04-30,991207.5117681789
2024-05-06,992479.8904619626
2024-05-07,992479.8904619626
2024-05-08,991595.3758056464
2024-05-09,991595.3758056464
2024-05-10,991640.1957535051
2024-05-13,991195.9107877992
2024-05-14,992902.2117758335
2024-05-15,992902.2117758335
2024-05-16,992902.2117758335
2024-05-17,992902.2117758335
2024-05-20,992902.2117758335
2024-05-21,992902.2117758335
2024-05-22,992902.2117758335
2024-05-23,992902.2117758335
2024-05-24,993316.7790497454
2024-05-27,993316.7790497454
2024-05-28,998596.7790497454
2024-05-29,997308.1090177776
2024-05-30,998804.0171430059
2024-05-31,998804.0171430059
2024-06-03,998804.0171430059
2024-06-04,998804.0171430059
2024-06-05,998804.0171430059
2024-06-06,998804.0171430059
2024-06-07,998804.0171430059
2024-06-11,998804.0171430059
2024-06-12,998804.0171430059
2024-06-13,998804.0171430059
2024-06-14,998804.0171430059
2024-06-17,998804.0171430059
2024-06-18,998804.0171430059
2024-06-19,998804.0171430059
2024-06-20,998804.0171430059
2024-06-21,998804.0171430059
2024-06-24,998804.0171430059
2024-06-25,998804.0171430059
2024-06-26,998804.0171430059
2024-06-27,998804.0171430059
2024-06-28,998804.0171430059
2024-07-01,998804.0171430059
2024-07-02,998804.0171430059
2024-07-03,998804.0171430059
2024-07-04,998804.0171430059
2024-07-05,998804.0171430059
2024-07-08,998804.0171430059
2024-07-09,998804.0171430059
2024-07-10,998804.0171430059
2024-07-11,998804.0171430059
2024-07-12,998804.0171430059
2024-07-15,998804.0171430059
2024-07-16,998804.0171430059
2024-07-17,998804.0171430059
2024-07-18,998804.0171430059
2024-07-19,998804.0171430059
2024-07-22,998804.0171430059
2024-07-23,998804.0171430059
2024-07-24,998804.0171430059
2024-07-25,998804.0171430059
2024-07-26,998804.0171430059
2024-07-29,998804.0171430059
2024-07-30,998804.0171430059
2024-07-31,998804.0171430059
2024-08-01,998804.0171430059
2024-08-02,998804.0171430059
2024-08-05,998804.0171430059
2024-08-06,998804.0171430059
2024-08-07,998804.0171430059
2024-08-08,998804.0171430059
2024-08-09,998804.0171430059
2024-08-12,998804.0171430059
2024-08-13,998804.0171430059
2024-08-14,998804.0171430059
2024-08-15,998804.0171430059
2024-08-16,998804.0171430059
2024-08-19,998804.0171430059
2024-08-20,998804.0171430059
2024-08-21,998804.0171430059
2024-08-22,998804.0171430059
2024-08-23,998804.0171430059
2024-08-26,998804.0171430059
2024-08-27,998804.0171430059
2024-08-28,998804.0171430059
2024-08-29,998804.0171430059
2024-08-30,998804.0171430059
2024-09-02,998175.7644728783
2024-09-03,998175.7644728783
2024-09-04,998175.7644728783
2024-09-05,998175.7644728783
2024-09-06,998175.7644728783
2024-09-09,998175.7644728783
2024-09-10,998175.7644728783
2024-09-11,998175.7644728783
2024-09-12,998175.7644728783
2024-09-13,998175.7644728783
2024-09-18,998175.7644728783
2024-09-19,998175.7644728783
2024-09-20,999365.6573216283
2024-09-23,999365.6573216283
2024-09-24,999365.6573216283
2024-09-25,999365.6573216283
2024-09-26,999538.0743470672
2024-09-27,999538.0743470672
2024-09-30,999538.0743470672
2024-10-08,999538.0743470672
2024-10-09,997828.5871041653
2024-10-10,998721.3080616682
2024-10-11,998721.3757781483
2024-10-14,998286.5395328768
2024-10-15,997350.3429995046
2024-10-16,996070.5963485345
2024-10-17,996070.5963485345
2024-10-18,996070.5963485345
2024-10-21,997755.1088284453
2024-10-22,997755.1088284453
2024-10-23,995508.4530014449
2024-10-24,995508.4530014449
2024-10-25,995508.4530014449
2024-10-28,995508.4530014449
2024-10-29,995508.4530014449
2024-10-30,995508.4530014449
2024-10-31,995508.4530014449
2024-11-01,995508.4530014449
2024-11-04,994024.235859736
2024-11-05,996230.3293685685
2024-11-06,995661.5415964798
2024-11-07,996050.080870249
2024-11-08,996050.080870249
2024-11-11,996050.080870249
2024-11-12,996050.080870249
2024-11-13,996050.080870249
2024-11-14,996050.080870249
2024-11-15,996050.080870249
2024-11-18,996050.080870249
2024-11-19,996050.080870249
2024-11-20,996050.080870249
2024-11-21,996050.080870249
2024-11-22,996050.080870249
2024-11-25,996050.080870249
2024-11-26,996050.080870249
2024-11-27,996050.080870249
2024-11-28,996050.080870249
2024-11-29,996050.080870249
2024-12-02,996050.080870249
2024-12-03,996050.080870249
2024-12-04,996050.080870249
2024-12-05,997253.4802867278
2024-12-06,997253.4802867278
2024-12-09,997253.4802867278
2024-12-10,997253.4802867278
2024-12-11,997253.4802867278
2024-12-12,996833.4802867278
2024-12-13,995231.6720281309
2024-12-16,995231.6720281309
2024-12-17,994044.2647540147
2024-12-18,994128.1399006613
2024-12-19,994128.1399006613
2024-12-20,994128.1399006613
2024-12-23,994128.1399006613
2024-12-24,994128.1399006613
2024-12-25,994128.1399006613
2024-12-26,994128.1399006613
2024-12-27,994128.1399006613
2024-12-30,994128.1399006613
2024-12-31,994128.1399006613
